radius,length,start_1,start_2,start_3,axis_1,axis_2,axis_3,parent,extension,added,UnmodRadius,branch,BranchOrder,PositionInBranch
0.08127151,0.4080512,33.4071,-11.21957,100.7793,0.1123836,-0.09114117,0.9894763,0,2,0,0.04001164,1,0,1
0.07402437,0.1637097,33.4495,-11.24636,101.1832,0.04771735,0.009557671,0.9988152,1,3,0,0.03846049,1,0,2
0.07260016,0.1245175,33.45778,-11.24316,101.3467,0.05259468,-0.01095654,0.9985558,2,4,0,0.04144802,1,0,3
0.06662118,0.2022292,33.4662,-11.23838,101.4711,0.01311203,-0.02145492,0.9996839,3,5,0,0.03990651,1,0,4
0.05977044,0.1251488,33.46936,-11.2376,101.6734,0.06365459,-0.04033216,0.9971567,4,6,0,0.03697295,1,0,5
0.05803465,0.1176305,33.47665,-11.24191,101.7983,0.09259347,-0.02905868,0.9952799,5,7,0,0.036918,1,0,6
0.05789337,0.1157144,33.48753,-11.24515,101.9154,0.09399606,-0.02140678,0.9953424,6,8,0,0.03674123,1,0,7
0.05848437,0.1280927,33.50321,-11.24827,102.0305,0.004273106,-0.02803707,0.9995977,7,9,0,0.03866787,1,0,8
0.05205647,0.1280573,33.50225,-11.2464,102.1587,0.05207213,-0.001695039,0.9986419,8,10,0,0.03589797,1,0,9
0.05154223,0.1118918,33.50907,-11.24599,102.2865,0.05537276,-0.001987815,0.9984637,9,11,0,0.03401102,1,0,10
0.05075552,0.1069586,33.51485,-11.2448,102.3983,0.05616368,0.003778834,0.9984144,10,12,0,0.0336871,1,0,11
0.05043762,0.08981981,33.52068,-11.2442,102.5051,0.06887253,-0.01292585,0.9975417,11,13,0,0.0292439,1,0,12
0.0498964,0.1074042,33.52649,-11.24517,102.5947,0.08118301,-0.002862167,0.9966951,12,14,0,0.03163493,1,0,13
0.04929782,0.1258191,33.53528,-11.245,102.7018,0.07143907,0.02057798,0.9972327,13,15,0,0.03782655,1,0,14
0.04869086,0.1204402,33.54492,-11.24131,102.8271,0.06239794,0.04267767,0.9971384,14,16,0,0.03614758,1,0,15
0.0504559,0.1512174,33.5532,-11.23687,102.9472,0.04302794,0.04464808,0.9980757,15,17,0,0.04604705,1,0,16
0.05469113,0.1851091,33.56801,-11.239,103.1023,-0.350281,0.1101557,0.9301445,16,18,0,0.05580249,1,0,17
0.05269096,0.1441985,33.5275,-11.20156,103.2686,0.2651291,-0.04628318,0.9631014,17,19,0,0.05269096,1,0,18
0.05216123,0.1429347,33.54635,-11.2337,103.4154,0.191793,0.1534301,0.9693682,18,20,0,0.0594014,1,0,19
0.04063386,0.1566023,33.61325,-11.2345,103.5502,0.1109934,0.02905436,0.9933963,19,21,0,0.04814115,1,0,20
0.0402442,0.1304386,33.62839,-11.22888,103.7061,0.1299761,-0.001354963,0.9915162,20,22,0,0.03267527,1,0,21
